seeding.strategy,org.silo_strength,rep,strategy,final_rate,peak_rate,plateau,relapse,steps_to_fixed_point,converged,n_adopted,n_not_able,n_not_willing,n_not_ready,n_relapsed,curve,dept_rates,team_rates
broadcast,0.5,0,broadcast,0.0725,0.0725,0.0725,0.0,12,True,29,0,47,324,0,"[0.0, 0.0225, 0.0275, 0.035, 0.0375, 0.04, 0.045, 0.055, 0.06, 0.0625, 0.0675, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725]","{""0"": 0.1933, ""1"": 0.0306, ""2"": 0.0109, ""3"": 0.0222}","[0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.125, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.2, 0.125, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
broadcast,0.5,1,broadcast,0.0325,0.0325,0.0325,0.0,3,True,13,0,59,328,0,"[0.0, 0.0275, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325]","{""0"": 0.0098, ""1"": 0.01, ""2"": 0.0674, ""3"": 0.0463}","[0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.4286, 0.0, 0.0, 0.0, 0.0, 0.1667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.2857, 0.1818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
broadcast,0.6,0,broadcast,0.0125,0.0125,0.0125,0.0,2,True,5,0,65,330,0,"[0.0, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125]","{""0"": 0.0187, ""1"": 0.0306, ""2"": 0.0, ""3"": 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
broadcast,0.6,1,broadcast,0.02,0.02,0.02,0.0,2,True,8,0,51,341,0,"[0.0, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]","{""0"": 0.0196, ""1"": 0.0105, ""2"": 0.0265, ""3"": 0.0225}","[0.2, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1667, 0.0, 0.125, 0.0, 0.0, 0.0909, 0.0, 0.1538, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
broadcast,0.7,0,broadcast,0.03,0.03,0.03,-0.0,3,True,12,0,55,333,0,"[0.0, 0.0275, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]","{""0"": 0.0294, ""1"": 0.0, ""2"": 0.0412, ""3"": 0.0485}","[0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1429, 0.0, 0.125, 0.0, 0.1429, 0.0, 0.2, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.1429, 0.0, 0.0, 0.1667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.2727, 0.0]"
broadcast,0.7,1,broadcast,0.015,0.015,0.015,-0.0,2,True,6,0,62,332,0,"[0.0, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015]","{""0"": 0.0268, ""1"": 0.0, ""2"": 0.0206, ""3"": 0.0105}","[0.0, 0.0667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1667, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
broadcast,0.8,0,broadcast,0.015,0.015,0.015,-0.0,2,True,6,0,59,335,0,"[0.0, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015]","{""0"": 0.0095, ""1"": 0.0185, ""2"": 0.0323, ""3"": 0.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1429, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0]"
broadcast,0.8,1,broadcast,0.0375,0.0375,0.0375,0.0,6,True,15,0,76,309,0,"[0.0, 0.0225, 0.0275, 0.0325, 0.035, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375]","{""0"": 0.0278, ""1"": 0.0312, ""2"": 0.0707, ""3"": 0.0208}","[0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1429, 0.0, 0.0, 0.0, 0.0, 0.6, 0.1111, 0.0, 0.2, 0.5714, 0.0, 0.1667, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0]"
broadcast,0.9,0,broadcast,0.035,0.035,0.035,-0.0,3,True,14,0,66,320,0,"[0.0, 0.0325, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035, 0.035]","{""0"": 0.03, ""1"": 0.0606, ""2"": 0.01, ""3"": 0.04}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.1667, 0.125, 0.0, 0.1111, 0.0, 0.2222, 0.0, 0.0, 0.1667, 0.0, 0.0, 0.0, 0.0, 0.2222, 0.0, 0.0, 0.0, 0.0769, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]"
broadcast,0.9,1,broadcast,0.31,0.31,0.31,0.0,31,True,124,0,58,218,0,"[0.0, 0.0225, 0.025, 0.0275, 0.0325, 0.04, 0.045, 0.05, 0.055, 0.06, 0.065, 0.0725, 0.085, 0.0925, 0.0975, 0.11, 0.1375, 0.1475, 0.16, 0.18, 0.2, 0.2275, 0.2525, 0.2625, 0.27, 0.2775, 0.285, 0.2925, 0.3025, 0.3075, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31]","{""0"": 0.4074, ""1"": 0.0, ""2"": 0.0204, ""3"": 0.8652}","[0.4, 0.0, 0.0, 0.0, 0.8333, 1.0, 0.0, 0.0, 0.8, 0.7143, 0.0, 0.0, 0.8333, 1.0, 0.0, 0.0, 0.75, 1.0, 0.0, 0.0, 0.8889, 0.9, 0.0, 0.0, 1.0, 0.9167, 0.0, 0.125, 1.0, 0.3333, 0.0, 0.125, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.5455, 0.0]"
broadcast,0.95,0,broadcast,0.0375,0.0375,0.0375,0.0,5,True,15,0,68,317,0,"[0.0, 0.025, 0.03, 0.035, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375]","{""0"": 0.0288, ""1"": 0.0385, ""2"": 0.08, ""3"": 0.0}","[0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1429, 0.125, 0.0, 0.0, 0.0, 0.2857, 0.2857, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.1111, 0.0, 0.25, 0.0, 0.0]"
broadcast,0.95,1,broadcast,0.1375,0.1375,0.1375,0.0,18,True,55,0,54,291,0,"[0.0, 0.0225, 0.0275, 0.0325, 0.035, 0.0425, 0.055, 0.0625, 0.065, 0.0675, 0.075, 0.0825, 0.0925, 0.105, 0.1225, 0.1325, 0.135, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375]","{""0"": 0.0099, ""1"": 0.4851, ""2"": 0.03, ""3"": 0.0206}","[0.2, 0.0, 1.0, 0.0, 0.1, 0.0, 0.0769, 0.0, 0.0, 0.0, 0.0833, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8889, 0.0, 0.0, 0.0, 0.875, 0.3333, 0.0, 0.0, 0.8333, 0.0, 0.0, 0.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9, 0.1429, 0.0, 0.0]"
