seeding.strategy,rep,strategy,final_rate,peak_rate,plateau,relapse,steps_to_fixed_point,converged,n_adopted,n_not_able,n_not_willing,n_not_ready,n_relapsed,curve,dept_rates,team_rates
broadcast,0,broadcast,0.0725,0.0725,0.0725,0.0,12,True,29,0,47,324,0,"[0.0, 0.0225, 0.0275, 0.035, 0.0375, 0.04, 0.045, 0.055, 0.06, 0.065, 0.07, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725]","{""0"": 0.1933, ""1"": 0.0306, ""2"": 0.0109, ""3"": 0.0222}","[0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.125, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.2, 0.125, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
broadcast,1,broadcast,0.0325,0.0325,0.0325,0.0,3,True,13,0,59,328,0,"[0.0, 0.0275, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325]","{""0"": 0.0098, ""1"": 0.01, ""2"": 0.0674, ""3"": 0.0463}","[0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.4286, 0.0, 0.0, 0.0, 0.0, 0.1667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.2857, 0.1818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
random,0,random,0.485,0.485,0.4835,0.0015,33,True,194,0,58,148,0,"[0.05, 0.0625, 0.0725, 0.09, 0.11, 0.1225, 0.13, 0.14, 0.155, 0.1775, 0.205, 0.2175, 0.2275, 0.2375, 0.2525, 0.265, 0.2875, 0.31, 0.3275, 0.35, 0.36, 0.3675, 0.375, 0.385, 0.3975, 0.4175, 0.435, 0.4425, 0.445, 0.4475, 0.4525, 0.47, 0.485, 0.485, 0.485, 0.485, 0.485, 0.485, 0.485, 0.485, 0.485]","{""0"": 0.8598, ""1"": 0.0408, ""2"": 0.1515, ""3"": 0.8632}","[0.6, 1.0, 0.0, 0.0, 0.75, 0.8333, 0.0, 0.0, 0.8182, 0.8, 0.0, 0.0, 1.0, 0.75, 0.0, 0.1429, 1.0, 0.9, 0.0, 0.0, 0.75, 0.6667, 0.0833, 0.2222, 0.7778, 1.0, 0.0, 0.0, 0.8333, 0.6, 0.1667, 0.0, 0.8, 0.9, 0.0, 0.8571, 0.8889, 0.8, 0.0, 0.6667, 0.8333, 0.875, 0.125, 0.2, 1.0, 0.875, 0.0, 0.0, 1.0, 1.0]"
random,1,random,0.4875,0.4875,0.4875,0.0,17,True,195,0,50,155,0,"[0.05, 0.065, 0.08, 0.1025, 0.1325, 0.1775, 0.2225, 0.2625, 0.3075, 0.355, 0.395, 0.4225, 0.44, 0.46, 0.48, 0.485, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875, 0.4875]","{""0"": 0.0392, ""1"": 0.8947, ""2"": 0.8761, ""3"": 0.0674}","[0.8, 0.0, 0.8462, 0.7778, 0.0, 0.1667, 0.7778, 0.8889, 0.0, 0.0, 0.8333, 0.8462, 0.1111, 0.0, 0.8333, 0.7778, 0.0, 0.0, 0.8889, 0.6667, 0.0, 0.0, 0.9, 0.8571, 0.2, 0.1429, 1.0, 0.9091, 0.1667, 0.0, 1.0, 1.0, 0.0, 0.0, 0.8, 1.0, 0.0, 0.0, 1.0, 0.7143, 0.0, 0.0, 1.0, 1.0, 0.125, 0.125, 0.8571, 1.0, 0.1429, 0.0]"
champions,0,champions,0.8725,0.8725,0.8725,-0.0,14,True,349,0,51,0,0,"[0.05, 0.1, 0.1675, 0.2375, 0.3125, 0.3975, 0.4975, 0.6125, 0.695, 0.765, 0.8075, 0.825, 0.855, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725, 0.8725]","{""0"": 0.8529, ""1"": 0.8969, ""2"": 0.8454, ""3"": 0.8932}","[1.0, 1.0, 0.9, 0.9091, 0.7778, 0.8, 0.8889, 0.875, 0.9, 0.7143, 1.0, 0.6667, 0.8571, 0.7778, 1.0, 0.8889, 0.9, 1.0, 1.0, 0.875, 0.9, 0.8571, 1.0, 1.0, 1.0, 1.0, 0.8, 0.6, 1.0, 0.75, 1.0, 0.8, 0.7143, 0.5714, 0.8, 1.0, 1.0, 0.8571, 0.8333, 0.7143, 0.9, 0.8, 1.0, 0.7143, 0.8, 1.0, 0.7273, 1.0, 0.9091, 1.0]"
champions,1,champions,0.855,0.855,0.855,-0.0,29,True,342,0,58,0,0,"[0.05, 0.09, 0.1475, 0.2125, 0.2875, 0.34, 0.38, 0.405, 0.435, 0.4525, 0.4825, 0.52, 0.55, 0.5825, 0.6075, 0.63, 0.6525, 0.685, 0.7075, 0.7275, 0.7475, 0.7625, 0.775, 0.7975, 0.815, 0.8275, 0.8375, 0.8475, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855]","{""0"": 0.8304, ""1"": 0.8632, ""2"": 0.8247, ""3"": 0.9053}","[0.8, 0.9333, 0.8333, 0.8182, 1.0, 0.8182, 0.4, 1.0, 0.6667, 1.0, 1.0, 0.7, 1.0, 0.875, 1.0, 0.8333, 0.6667, 1.0, 0.8, 0.875, 1.0, 0.5714, 0.7778, 0.875, 1.0, 0.6667, 0.6667, 0.6667, 0.875, 0.875, 0.8889, 0.8889, 1.0, 0.8333, 1.0, 0.8333, 0.9091, 0.8, 1.0, 0.625, 0.875, 0.75, 1.0, 0.8889, 1.0, 0.7, 0.875, 1.0, 0.8333, 0.9]"
cluster,0,cluster,0.24,0.24,0.24,-0.0,22,True,96,0,56,248,0,"[0.05, 0.07, 0.085, 0.0925, 0.105, 0.1075, 0.11, 0.115, 0.12, 0.125, 0.1275, 0.1325, 0.15, 0.1625, 0.17, 0.1775, 0.185, 0.19, 0.2, 0.215, 0.235, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24, 0.24]","{""0"": 0.8762, ""1"": 0.0185, ""2"": 0.0, ""3"": 0.0108}","[0.4, 0.4, 0.0, 0.0, 0.0, 1.0, 0.1, 0.0, 0.0, 1.0, 0.125, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9091, 0.0, 0.0, 0.0, 0.8333, 0.0, 0.0, 0.1111, 0.7778, 0.0, 0.0, 0.0, 0.8889, 0.0, 0.0, 0.0, 0.8333, 0.0, 0.0, 0.0, 0.8889, 0.0, 0.0, 0.0, 0.9091, 0.0, 0.0, 0.0, 1.0]"
cluster,1,cluster,0.345,0.345,0.345,0.0,15,True,138,0,74,188,0,"[0.05, 0.08, 0.115, 0.15, 0.1725, 0.19, 0.2, 0.2175, 0.2375, 0.2625, 0.2875, 0.31, 0.325, 0.3425, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345, 0.345]","{""0"": 0.5833, ""1"": 0.375, ""2"": 0.3838, ""3"": 0.0}","[0.6, 1.0, 0.0, 0.0833, 0.0, 1.0, 0.0, 0.0, 0.0, 0.8889, 0.0, 0.0, 0.0, 0.8333, 0.0, 0.0, 0.0, 1.0, 0.7143, 1.0, 0.0, 0.7143, 0.875, 1.0, 0.0, 0.75, 0.875, 0.75, 0.0, 0.0, 0.7143, 0.7, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.6, 0.7143, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
line_manager_first,0,line_manager_first,0.4025,0.4025,0.4025,0.0,16,True,161,0,61,178,0,"[0.05, 0.085, 0.105, 0.135, 0.1675, 0.195, 0.2175, 0.2425, 0.275, 0.3, 0.3275, 0.35, 0.3725, 0.385, 0.3975, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025]","{""0"": 0.07, ""1"": 0.8687, ""2"": 0.09, ""3"": 0.59}","[0.6, 0.0, 1.0, 0.1667, 0.0, 0.0, 1.0, 0.0, 0.0, 0.125, 0.8571, 0.0, 0.0, 0.0, 0.6, 0.0, 1.0, 0.1429, 0.6667, 0.0, 0.8889, 0.0909, 1.0, 0.0, 0.7143, 0.1667, 0.875, 0.2, 1.0, 0.0, 1.0, 0.0, 0.9167, 0.0, 0.8182, 0.0, 0.8, 0.0, 0.8889, 0.1667, 0.8333, 0.0, 0.8462, 0.0, 1.0, 0.125, 0.7143, 1.0, 0.1, 0.4]"
line_manager_first,1,line_manager_first,0.6675,0.6675,0.6675,-0.0,19,True,267,0,55,78,0,"[0.05, 0.075, 0.095, 0.1475, 0.215, 0.265, 0.3275, 0.3875, 0.4225, 0.47, 0.52, 0.565, 0.6, 0.6175, 0.64, 0.6425, 0.65, 0.665, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675, 0.6675]","{""0"": 0.8796, ""1"": 0.0673, ""2"": 0.8878, ""3"": 0.8652}","[0.8, 0.6, 0.2857, 0.5556, 0.8333, 1.0, 0.0, 1.0, 0.8, 0.7143, 0.5, 0.8571, 0.8333, 1.0, 0.0, 0.8889, 0.75, 1.0, 0.0, 1.0, 0.8889, 0.9, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0833, 0.875, 1.0, 1.0, 0.125, 1.0, 1.0, 0.8333, 0.0, 0.9, 1.0, 0.9167, 0.0, 0.6, 0.8, 0.8182, 0.0, 0.9091, 0.5455, 0.8]"
