pair_id,rep,strategy,final_rate,peak_rate,cumulative_rate,retention_rate,steps_to_fixed_point,converged,n_adopted,n_not_able,n_not_willing,n_not_ready,n_relapsed,seeded_teams,team_rates
0,0,random,0.090264,0.090264,0.090264,1.0,4,True,89,0,142,755,0,"[0, 1, 2, 3, 5, 6, 7, 9, 11, 12, 14, 16, 18, 24, 28, 29, 30, 34, 37, 38, 39, 40, 41]","[0.0408, 0.0645, 0.1538, 0.1724, 0.0, 0.1154, 0.0769, 0.0185, 0.125, 0.0294, 0.0, 0.2759, 0.2, 0.0, 0.1071, 0.0, 0.1111, 0.0, 0.1667, 0.0, 0.2, 0.0, 0.2, 0.0, 0.25, 0.0, 0.0, 0.0, 0.1667, 0.0769, 0.1364, 0.0, 0.0, 0.3333, 0.1308, 0.25, 0.0, 0.0556, 0.0357, 0.1429, 0.0526, 0.0323]"
0,0,champions,0.842799,0.842799,0.842799,1.0,7,True,831,0,138,17,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8163, 0.8387, 0.9487, 0.8276, 0.6667, 0.8077, 0.8462, 0.9074, 0.875, 0.7941, 1.0, 0.8276, 0.7, 0.9231, 0.7679, 0.88, 0.8889, 0.8333, 0.8333, 0.8889, 0.9, 0.75, 1.0, 0.9167, 0.75, 0.625, 0.5556, 1.0, 0.9167, 0.7692, 0.9545, 0.7333, 0.8462, 1.0, 0.8224, 1.0, 1.0, 0.7222, 0.8214, 0.8776, 0.8421, 0.9355]"
0,0,cluster,0.065923,0.065923,0.065923,1.0,3,True,65,0,142,779,0,"[4, 8, 12, 20, 21]","[0.0, 0.0, 0.0769, 0.0, 1.0, 0.0, 0.022, 0.0, 1.0, 0.0588, 0.0, 0.0, 1.0, 0.0, 0.0179, 0.16, 0.0, 0.3333, 0.0, 0.0, 0.4, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0323]"
1,1,random,0.093306,0.093306,0.093306,1.0,4,True,92,0,143,751,0,"[0, 1, 3, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 19, 22, 23, 25, 29, 31, 34, 38, 39, 41]","[0.1633, 0.1452, 0.0256, 0.1379, 0.0, 0.0385, 0.0549, 0.1481, 0.125, 0.0882, 1.0, 0.0345, 0.1, 0.0, 0.125, 0.16, 0.1852, 0.0, 0.0, 0.2222, 0.0, 0.0, 0.4, 0.1667, 0.0, 0.25, 0.0, 0.0, 0.0, 0.1538, 0.0, 0.0667, 0.0, 0.0, 0.0654, 0.0, 0.0, 0.0, 0.1786, 0.0816, 0.0, 0.129]"
1,1,champions,0.839757,0.839757,0.839757,1.0,10,True,828,0,146,12,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8571, 0.8871, 0.9231, 0.8276, 0.6667, 0.8846, 0.8022, 0.8519, 0.875, 0.8824, 1.0, 0.6897, 1.0, 0.9231, 0.8393, 0.8, 0.9259, 0.8333, 0.6667, 0.7778, 0.9, 0.625, 0.8, 0.8333, 0.25, 0.875, 0.7778, 1.0, 0.8333, 0.8462, 0.9545, 0.6667, 0.7692, 1.0, 0.8224, 1.0, 0.5, 0.7778, 0.9643, 0.7755, 0.8947, 0.871]"
1,1,cluster,0.845842,0.845842,0.845842,1.0,29,True,834,0,142,10,0,"[3, 14, 36]","[0.8571, 0.8871, 0.9231, 1.0, 0.6667, 0.8462, 0.8022, 0.8519, 0.875, 0.8824, 1.0, 0.6897, 1.0, 0.9231, 0.8929, 0.8, 0.9259, 0.8333, 0.6667, 0.6667, 0.9, 0.625, 0.8, 0.8333, 0.25, 0.875, 0.8889, 1.0, 0.75, 0.8462, 0.9091, 0.6667, 0.7692, 1.0, 0.8224, 1.0, 1.0, 0.7778, 0.9643, 0.7755, 0.8947, 0.871]"
2,2,random,0.158215,0.158215,0.158215,1.0,16,True,156,0,128,702,0,"[0, 1, 2, 5, 6, 7, 12, 13, 14, 15, 16, 28, 30, 32, 34, 37, 38, 39]","[0.1633, 0.0968, 0.4359, 0.0, 0.0, 0.1923, 0.8242, 0.0556, 0.0, 0.0, 0.0, 0.0345, 0.2, 0.1538, 0.0179, 0.04, 0.037, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 1.0, 0.0833, 0.0, 0.1364, 0.0, 0.0769, 0.0, 0.1121, 0.0, 0.0, 0.1111, 0.0714, 0.1633, 0.0, 0.0]"
2,2,champions,0.863083,0.863083,0.863083,1.0,7,True,851,0,126,9,0,"[1, 2, 5, 6, 7, 13, 14, 15, 18, 19, 28, 29, 30, 31, 32, 34, 37, 39, 41]","[0.8571, 0.8548, 0.8462, 0.8621, 0.6667, 0.8462, 0.8571, 0.9259, 0.75, 0.8824, 1.0, 0.931, 0.9, 1.0, 0.9286, 0.88, 0.8519, 0.6667, 0.8333, 1.0, 0.7, 0.875, 1.0, 0.9167, 0.75, 1.0, 1.0, 1.0, 0.8333, 0.7692, 1.0, 0.8, 0.8462, 0.6667, 0.8505, 0.75, 0.5, 0.8889, 0.7143, 0.8163, 0.8947, 0.871]"
2,2,cluster,0.088235,0.088235,0.088235,1.0,5,True,87,0,127,772,0,"[4, 7, 29]","[0.0204, 0.0, 0.0256, 0.0, 1.0, 0.0, 0.022, 0.8889, 0.0, 0.0294, 1.0, 0.0345, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0, 0.0455, 0.0, 0.0, 0.0, 0.0093, 0.0, 0.5, 0.0, 0.0714, 0.0204, 0.0526, 0.0323]"
3,3,random,0.1643,0.1643,0.1643,1.0,11,True,162,0,148,676,0,"[0, 1, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 28, 29, 30, 32, 34, 38, 39]","[0.0408, 0.0484, 0.1538, 0.069, 0.0, 0.1154, 0.8132, 0.0926, 0.125, 0.0588, 0.0, 0.0345, 0.1, 0.1538, 0.1071, 0.04, 0.3333, 0.3333, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.125, 0.0, 0.0, 0.25, 0.1538, 0.1818, 0.0, 0.4615, 0.3333, 0.0374, 0.0, 0.0, 0.0, 0.1429, 0.1837, 0.0, 0.0]"
